backend,endpoint,count,success_count,error_count,avg_ms,p50_ms,p95_ms,p99_ms,max_ms,avg_response_bytes
clickhouse,health,355,355,0,2.039372273327284,1.1115630040876567,1.726590898761061,36.15856070187868,41.576325995265506,38.0
clickhouse,summary,355,355,0,33.27394447903867,26.94217899988871,58.26405520274421,69.34667203822748,109.56284900021274,48618.08450704225
clickhouse,workspace,355,355,0,161.80894210142276,154.93929100193782,255.1158692986064,322.3787308199097,376.13012400106527,340973.1718309859
clickhouse,entries,355,355,0,40.86107609559483,26.876461997744627,77.8193899015605,85.71531969981152,97.91299600328784,79332.67887323943
clickhouse,filter_search,354,354,0,11.156646686321318,6.961636998312315,47.340280151183826,51.507623519209986,53.80523299390916,264.0
druid,health,54,54,0,84.07617746262177,64.03913300164277,129.56347540311933,969.6104081410149,1366.3946759988903,160.2962962962963
druid,summary,54,50,4,296.30404908020864,225.7880839970312,594.3896724034857,1001.7807378714489,1190.4153210052755,48906.9
druid,workspace,54,50,4,983.2495943999675,883.4411769967119,1748.3747422971642,2613.2396050887455,3099.004220995994,343701.6
druid,entries,53,50,3,263.4100065402163,122.84163450021879,284.0964624472689,3064.668506631486,5712.7918300029705,79605.76
druid,filter_search,53,53,0,1.7640353209297348,1.423693000106141,3.445617198303806,6.789454042736894,8.850525002344511,77.0
materialize,health,15,15,0,744.4543557338571,972.360995998315,1029.0753607041552,1044.7339401449426,1048.6485850051395,279.0
materialize,summary,15,15,0,1475.4287830655812,1087.5880789972143,2143.398283998249,2144.742435202934,2145.078473004105,48852.53333333333
materialize,workspace,15,15,0,1920.1808289993398,1948.2051049999427,1979.7627748979721,1997.415393376723,2001.8285479964106,344905.6
materialize,entries,14,14,0,1097.8588873575584,1083.4233285022492,1245.3451990491885,1276.2717638116737,1284.003405002295,79912.42857142857
materialize,filter_search,14,14,0,899.207891072105,906.2631779997901,1007.7293801976339,1028.5454648391897,1033.7494859995786,265.0
pinot,health,435,435,0,1.5621417218781795,0.8987600012915209,1.519191203260561,36.65197146052367,48.59023400058504,33.0
pinot,summary,435,435,0,41.73119178174957,26.332943998568226,89.06640819550375,102.76277324228431,1135.6138699993608,36139.38850574713
pinot,workspace,435,435,0,125.27300509679046,109.93040299945278,198.70570670100278,288.3165432416716,568.786525996984,256318.07586206897
pinot,entries,434,434,0,32.77621564303374,18.50459100023727,86.16227280435848,101.12115136769722,157.11597900371999,58733.06221198157
pinot,filter_search,434,434,0,2.464966193522318,1.3933125010225922,2.1319290965038813,41.90834337161506,46.83863399986876,77.0
